TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,OCCUPATION_TYPE,ORGANIZATION_TYPE
0,0,1,0,1,6,2,4,1,8,5
0,0,0,0,1,1,2,4,1,8,41
0,0,0,0,0,6,0,1,1,10,49
0,0,1,0,0,6,0,1,1,8,11
1,0,1,0,0,6,0,4,1,8,5
0,0,1,0,1,6,2,4,1,8,18
0,0,1,0,1,6,2,4,5,4,5
0,0,0,0,1,6,0,1,1,3,2
0,0,0,0,1,6,0,1,1,3,27
0,0,1,0,1,6,2,4,1,4,52
0,0,1,0,1,6,2,1,1,3,41
0,0,1,0,1,6,0,4,2,4,4
0,0,0,0,1,1,2,1,1,3,27
0,1,1,0,1,6,2,4,1,8,5
0,0,0,0,1,5,0,1,1,10,46
0,0,0,0,1,6,0,2,1,14,5
1,1,1,0,1,6,2,4,1,14,41
0,0,0,0,1,5,2,1,1,6,18
0,0,1,0,0,6,2,1,1,10,5
0,1,1,0,1,6,0,1,1,10,41
0,0,1,0,1,6,2,4,1,10,5
1,0,0,0,1,6,2,1,1,14,49
0,0,1,0,1,6,2,4,1,4,52
0,0,1,0,1,6,2,1,1,6,5
0,0,1,0,1,6,2,4,1,8,53
0,0,1,0,1,6,2,1,1,6,25
0,1,1,0,1,6,2,1,1,14,46
0,1,0,0,0,6,2,4,5,8,5
0,0,0,0,1,6,2,4,1,11,29
0,0,1,0,1,6,1,1,1,4,11
0,0,1,0,1,6,2,4,1,8,5
0,0,0,0,1,6,2,1,1,8,25
0,0,1,0,1,6,1,1,1,6,32
0,0,1,0,1,1,2,4,1,8,12
0,0,0,0,1,0,0,4,5,8,25
0,0,1,0,1,6,0,4,1,4,5
0,0,1,0,0,6,2,4,1,4,5
0,0,1,0,0,1,2,3,1,8,5
0,0,1,0,0,1,2,4,1,4,4
0,0,1,0,1,5,2,4,1,4,5
0,0,1,0,0,6,2,4,1,4,41
0,1,0,0,1,6,0,1,1,10,5
0,0,0,0,1,1,1,1,1,0,11
0,0,1,0,1,6,0,4,1,4,5
0,0,1,0,1,6,2,2,1,6,5
0,1,0,0,1,6,2,4,1,11,32
0,0,1,0,1,6,2,1,1,10,5
1,0,0,0,0,6,2,4,1,12,42
0,1,1,0,1,6,2,4,1,4,25
0,0,1,0,1,5,0,4,1,4,5
1,0,0,0,0,6,1,4,3,11,29
0,0,0,0,1,3,0,4,1,14,41
0,0,0,0,1,1,2,1,1,3,11
0,0,0,0,1,1,2,4,2,12,42
0,0,0,0,1,6,2,1,1,8,41
0,0,1,0,1,6,0,1,1,6,7
0,0,0,0,0,6,1,1,1,4,38
0,0,0,0,1,6,0,1,2,3,2
0,0,1,0,0,6,2,4,1,10,5
0,0,1,0,1,6,1,4,1,8,51
0,1,1,0,1,6,0,1,1,10,45
0,0,1,0,1,6,0,2,1,10,5
0,0,1,0,1,6,2,4,1,4,3
0,1,1,0,1,1,0,1,1,14,49
0,0,1,0,1,1,2,1,1,4,5
0,1,1,0,1,6,2,1,1,10,5
0,0,0,0,1,6,0,4,1,14,5
0,0,1,0,0,6,2,4,1,8,5
0,0,0,0,1,6,0,4,1,14,5
0,0,0,0,0,6,2,4,1,11,32
0,0,0,0,0,6,1,1,1,11,29
0,0,0,0,1,6,2,4,2,0,41
0,0,0,0,1,6,2,1,1,14,5
0,0,0,0,1,6,2,1,1,3,41
0,0,1,0,0,6,2,1,1,10,13
0,0,1,0,0,6,2,2,5,2,5
0,0,0,0,1,6,0,1,0,3,2
0,0,0,0,1,5,0,4,1,11,12
0,1,0,0,0,6,0,4,5,8,41
0,0,1,0,1,5,0,1,1,8,5
1,0,0,0,0,5,2,4,2,11,29
0,0,1,0,1,6,2,1,1,10,7
0,0,0,0,1,6,2,4,1,8,5
0,0,1,0,0,6,2,1,4,3,33
0,0,1,0,0,6,2,1,4,8,11
0,0,1,0,1,6,2,4,1,8,5
0,0,0,0,1,6,2,4,1,8,52
0,0,0,0,1,6,1,1,1,3,11
0,0,0,0,1,5,2,1,1,14,41
0,0,1,0,0,1,2,4,1,8,25
0,1,1,0,1,6,2,1,1,8,25
0,0,0,0,1,6,2,4,1,8,5
0,0,0,0,1,6,2,1,1,5,5
0,0,1,0,1,6,0,4,1,8,5
0,0,1,0,1,6,2,1,1,10,25
0,0,0,0,1,6,2,4,1,14,4
0,0,1,0,0,6,2,4,5,8,25
0,0,0,0,0,6,0,1,1,14,5
0,0,0,0,1,6,2,1,1,0,29
0,0,0,0,1,6,2,4,1,0,41
0,0,0,0,1,6,2,4,1,8,48
0,0,0,0,1,6,0,1,1,10,5
0,0,1,0,0,6,2,4,1,4,29
0,0,1,0,1,6,2,4,1,4,41
0,0,1,0,0,6,0,4,1,8,7
0,1,0,0,1,6,2,1,5,3,49
0,0,1,0,0,6,1,1,1,3,38
0,0,1,0,1,6,0,4,1,4,5
0,0,0,0,1,6,2,4,1,8,5
0,0,1,0,1,1,0,4,4,4,41
1,0,1,0,0,6,0,1,1,6,5
0,0,0,0,1,6,2,4,1,14,5
0,0,0,0,1,6,2,4,1,6,38
0,1,1,0,1,6,0,4,1,4,53
0,0,0,0,1,6,2,4,1,0,37
0,0,0,0,1,6,2,4,1,10,41
0,0,0,0,0,6,2,1,1,3,2
0,0,1,0,0,6,0,1,1,6,7
0,0,1,0,0,6,0,4,1,10,41
0,0,0,0,1,6,2,4,1,14,41
0,0,0,0,1,6,2,4,1,14,49
0,0,1,0,1,6,0,4,1,4,4
0,0,0,0,1,1,0,1,1,12,41
0,0,1,0,1,6,2,1,1,8,5
1,0,1,0,0,6,2,4,2,1,5
0,0,1,0,1,6,0,1,1,10,5
0,0,1,0,0,6,2,1,3,3,30
0,0,1,0,1,5,2,4,1,8,11
0,0,0,0,1,0,2,4,1,8,5
0,0,1,0,1,6,0,1,1,10,7
0,0,0,0,1,6,2,4,1,0,32
0,0,0,0,1,6,0,1,5,10,32
0,0,0,0,1,6,2,4,1,6,46
0,0,1,0,0,1,2,4,1,4,3
0,0,1,0,1,6,2,4,1,4,16
0,0,0,0,1,6,2,4,1,14,46
0,0,1,0,1,6,2,1,1,10,53
0,0,1,0,1,6,2,4,1,8,51
0,0,1,0,1,6,2,4,1,8,30
0,0,1,0,0,5,2,1,5,4,42
0,0,0,0,1,1,2,4,1,10,42
0,0,1,0,1,5,2,4,1,14,49
0,1,1,0,1,6,0,4,1,3,46
0,0,0,0,1,6,2,4,1,11,29
0,0,1,0,1,1,2,2,5,10,7
0,0,1,0,1,6,2,4,1,8,7
0,0,1,0,1,5,2,4,1,8,41
0,0,1,0,1,6,2,4,1,4,1
